id,nama,alamat,kecamatan,kelurahan,jenis_fasilitas,kapasitas,latitude,longitude
56,TPS Bratang Lapangan,Jl. Bratang Lapangan,Kec. Gubeng,Kel. Ngagel Rejo,TPS,14,-7.301765071781403,112.74812853207864
57,TPS BARATA JAYA,JL. BARATAJAYA,Kec. Gubeng,Kel. Baratajaya,TPS,28,-7.303919010790341,112.75535217046838
58,TPS Buktong,Jl. Menur - Manyar,Kec. Sukolilo,Kel. Menur Pumpungan,TPS,19.8,-7.287739813407403,112.76338551246822
59,TPS ITS,Jl. Arif Rahman Hakim,Kec. Sukolilo,Kel. Keputih,TPS,14,-7.289380019281727,112.7893662131709
60,TPS IPLT Keputih,Jl. Keputih Tegal,Kec. Sukolilo,Kel. Keputih,TPS,14,-7.294942052891903,112.8075759520324
61,TPS Gebang Putih,Jl. Gebang Putih,Kec. Sukolilo,Kel. Gebang Putih,TPS,14,-7.284094252034339,112.78539639435986
62,TPS Klampis Ngasem,Jl. Klampis Ngasem,Kec. Sukolilo,Kel. Klampis Ngasem,TPS,14,-7.285014118023893, 112.77626484667445
63,TPS Semolowaru,Jl. Semolowaru,Kec. Sukolilo,Kel. Semolowaru,TPS,14,-7.301121674107798,112.78819512853144
64,TPS SEMOLOWARU BAHARI (TPU KEPUTIH),JL. MEDOKAN KEPUTIH,Kec. Sukolilo,Kel. Medokan Semampir,TPS,14,-7.301249376241153,112.78853845129201
65,TPS Medokan Semampir,Jl. Medokan Semampir,Kec. Sukolilo,Kel. Medokan Semampir,TPS,14,-7.306135166818834,112.79455552339877
66,TPS ASPOL NGINDEN INTAN,JL. NGINDEN INTAN TIMUR,Kec. Sukolilo,Kel. Nginden Jangkungan,TPS,14,-7.304049582232832,112.7722756438802
67,TPS KEJAWAN PUTIH TAMBAK,JL. KEJAWAN PUTIH TAMBAK,Kec. Mulyorejo,Kel. Kejawan Putih Tambak,TPS,19.8,-7.276978797177078,112.80907769325395
68,TPS Rungkut Alang-Alang,Jl. Kali Rungkut,Kec. Rungkut,Kel. Kalirungkut,TPS,14,-7.322363063252781,112.77204348465527
69,TPS Rungkut Kidul (Pasar Pahing),Jl. Pasar Rungkut Kidul Pasar Pahing,Kec. Rungkut,Kel. Rungkut Kidul,TPS,28,-7.3308575773157685,112.77066430673607
70,TPS Kendal Sari Wonorejo,Jl. Kendalsari ( Barat Kebun Bibit ),Kec. Rungkut,Kel. Penjaringan Sari,TPS,16.5,-7.312737043972337,112.78419740674602
71,TPS Penjaringan Sari,Jl. Pandugo,Kec. Rungkut,Kel. Penjaringansari,TPS,28,-7.321890938416153,112.78408309325395
